,I_US,I_EU,Inf_US,Inf_EU,Euro
2014-09-01,0.13,0.1916,0.017150983482969062,0.0036246476037054,1.3127838373184204
2014-10-01,0.12,0.0971,0.016840509711232077,0.0032064128256514834,1.262833595275879
2014-11-01,0.12,0.0826,0.016095417021513292,0.003812199036917985,1.2613362073898315
2014-12-01,0.13,0.0809,0.01231524989320798,0.0028112449799195804,1.2438275814056396
2015-01-01,0.15,0.0809,0.006531213919623191,-0.0017008504252126189,1.2098628282546997
2015-02-01,0.16,0.0627,-0.002299309782054282,-0.006070416835289416,1.13355553150177
2015-03-01,0.15,0.0482,-0.0008703146293520536,-0.002925156344563362,1.1205360889434814
2015-04-01,0.14,0.0272,-0.00022031284423873476,-0.0006995103427599458,1.073814034461975
2015-05-01,0.13,0.0047,-0.0010403098939391064,0.002095390141688469,1.1214659214019775
2015-06-01,0.15,-0.0104,0.0003503321824429584,0.005993407252022687,1.0957943201065063
2015-07-01,0.18,-0.0139,0.001795718097550525,0.004989024146876853,1.1134989261627197
2015-08-01,0.19,-0.0187,0.0022568611104094582,0.005423320277192056,1.0939244031906128
2015-09-01,0.26,-0.0277,0.002413037985344868,0.004414125200641994,1.1225864887237549
2015-10-01,0.27,-0.037,8.842961634170088e-05,0.0019976028765480436,1.11720609664917
2015-11-01,0.25,-0.0536,0.0012761656067050708,0.003897661403158059,1.0993843078613281
2015-12-01,0.3,-0.0876,0.004363182169185187,0.0013015618742491242,1.0572947263717651
2016-01-01,0.54,-0.1263,0.006387247515364791,0.0025055121266785996,1.0859060287475586
2016-02-01,0.57,-0.1461,0.012375025026943876,0.0032573289902280145,1.0825908184051514
2016-03-01,0.54,-0.1836,0.008472775790126619,-0.0012139605462822,1.0888975858688354
2016-04-01,0.55,-0.2285,0.008916160965521946,-0.00040000000000006697,1.1379671096801758
2016-05-01,0.55,-0.2492,0.011726257503534843,-0.002588867868166922,1.135589361190796
2016-06-01,0.57,-0.2572,0.010784764621246223,-0.0011915400655345687,1.113598108291626
2016-07-01,0.55,-0.2679,0.010792865347959424,0.0004964257347099821,1.1106051206588745
2016-08-01,0.62,-0.2945,0.008683633430518256,0.0016981320547397871,1.1168068647384644
2016-09-01,0.73,-0.2982,0.010553158595656864,0.0021973631642029368,1.116071343421936
2016-10-01,0.75,-0.3016,0.015486446201652182,0.003987240829346206,1.121956706047058
2016-11-01,0.72,-0.309,0.01685924966243646,0.005077152812344332,1.0973334312438965
2016-12-01,0.71,-0.3127,0.016843334719788938,0.00589941005899397,1.0592098236083984
2017-01-01,0.87,-0.3158,0.020507989115119862,0.010996700989702957,1.0575296878814697
2017-02-01,0.9,-0.3255,0.025103933482571117,0.017248376623376638,1.0803803205490112
2017-03-01,0.87,-0.3286,0.028103616813294208,0.01954826293932932,1.0569148063659668
2017-04-01,0.98,-0.3293,0.0244119623655914,0.015306122448979664,1.0687072277069092
2017-05-01,1.03,-0.3304,0.02176223471915395,0.018967754816811233,1.0907504558563232
2017-06-01,1.05,-0.3295,0.018563431667619756,0.01381847102097633,1.1243535280227661
2017-07-01,1.16,-0.33,0.01640565809959127,0.01299990076411639,1.144164800643921
2017-08-01,1.22,-0.3304,0.017251073506566073,0.013362584762664609,1.182410478591919
2017-09-01,1.25,-0.3291,0.0192812155729698,0.015447478572852225,1.1910432577133179
2017-10-01,1.25,-0.3294,0.021805652303711787,0.015587768069896812,1.178175449371338
2017-11-01,1.26,-0.3295,0.02020757753132485,0.013668779714738566,1.165175199508667
2017-12-01,1.32,-0.329,0.02172493864295566,0.015308151093439415,1.1898245811462402
2018-01-01,1.53,-0.3279,0.021299307195522532,0.013448037179867534,1.200494647026062
2018-02-01,1.67,-0.3285,0.0210370333883374,0.012966287652104391,1.241865873336792
2018-03-01,1.78,-0.3285,0.02226584592182146,0.011126564673157313,1.2191256284713745
2018-04-01,2.08,-0.3279,0.023325898348449225,0.013991526258744669,1.2302846908569336
2018-05-01,2.2,-0.3285,0.02437825818102879,0.01224649750171447,1.2081234455108643
2018-06-01,2.16,-0.3252,0.02776593826330709,0.01951363012355367,1.1693171262741089
2018-07-01,2.19,-0.322,0.028485069400359553,0.01969043887147337,1.1562966108322144
2018-08-01,2.17,-0.3207,0.028987524719234603,0.02194449911434737,1.168961763381958
2018-09-01,2.19,-0.319,0.0267799969818463,0.020806752380017723,1.1664663553237915
2018-10-01,2.24,-0.3188,0.023551849372045464,0.02082314986802225,1.1605371236801147
2018-11-01,2.37,-0.3177,0.025285249730360837,0.02286495993746329,1.1316697597503662
2018-12-01,2.56,-0.3164,0.021728053574028294,0.019189347953788793,1.1392766237258911
2019-01-01,2.69,-0.3121,0.019152155929057058,0.015220997170455774,1.1493064165115356
2019-02-01,2.59,-0.308,0.014983336214486442,0.0138834186687673,1.1449507474899292
2019-03-01,2.49,-0.3084,0.014817249908795294,0.014934171742974955,1.1373459100723267
2019-04-01,2.48,-0.3092,0.01879950797536667,0.013992809250801708,1.1223849058151245
2019-05-01,2.47,-0.3105,0.020056287128317196,0.017228029423151492,1.121604323387146
2019-06-01,2.44,-0.3119,0.018127514664306066,0.012215062037125968,1.1131147146224976
2019-07-01,2.3,-0.3289,0.01689643912423633,0.012681333461427524,1.1364928483963013
2019-08-01,2.22,-0.3649,0.018211624085340272,0.010207029369282639,1.1071745157241821
2019-09-01,2.06,-0.4077,0.01759689214257043,0.01009518315546587,1.1061947345733643
2019-10-01,2.03,-0.4176,0.017273300322313334,0.008331737215092838,1.0899657011032104
2019-11-01,1.88,-0.4129,0.017570848921546256,0.00726022162781792,1.1157102584838867
2019-12-01,1.77,-0.4013,0.0203081648242478,0.009606147934678289,1.101176142692566
2020-01-01,1.76,-0.3947,0.022617213948865622,0.01326285439692465,1.1220825910568237
2020-02-01,1.65,-0.3911,0.02460490355289746,0.01359619306594162,1.1029127836227417
2020-03-01,1.59,-0.4088,0.023197108262389632,0.01219748305905144,1.0997228622436523
2020-04-01,1.35,-0.4192,0.015306383296693093,0.007474844274077741,1.102657437324524
2020-05-01,1.35,-0.254,0.0036486481190454167,0.003139866793530066,1.094546914100647
2020-06-01,0.17,-0.2701,0.002424361108391171,0.0008551881413911833,1.1118524074554443
2020-07-01,0.2,-0.376,0.007268141963729713,0.0026562944692154478,1.1235954761505127
2020-08-01,0.18,-0.4433,0.010328253223915507,0.0039081117148032085,1.1872254610061646
2020-09-01,0.15,-0.4797,0.013275873510318892,-0.0017133066818961762,1.193901538848877
2020-10-01,0.13,-0.491,0.014006453724921597,-0.0031342007788015547,1.1726078987121582
2020-11-01,0.12,-0.5085,0.011841977419793537,-0.0027503793626706408,1.1678695678710938
2020-12-01,0.16,-0.5206,0.011377566062035438,-0.0028544243577545148,1.193816065788269
2021-01-01,0.17,-0.5381,0.012781544394667721,-0.0026557905719434283,1.218026876449585
2021-02-01,0.14,-0.5472,0.013599709295582851,0.009102232442272484,1.2123857736587524
2021-03-01,0.11,-0.5417,0.016752442984166338,0.009372609028309054,1.208956003189087
2021-04-01,0.1,-0.5391,0.026583773943021027,0.01331684580994974,1.1728830337524414
2021-05-01,0.11,-0.5382,0.04151991065780525,0.016219292421511877,1.2127091884613037
2021-06-01,0.1,-0.5401,0.04944440971462516,0.019842400075951838,1.223286509513855
2021-07-01,0.09,-0.5429,0.05341015562734963,0.019017882486517257,1.1856770515441895
2021-08-01,0.1,-0.5448,0.05276104941924564,0.021648309912647212,1.1892997026443481
2021-09-01,0.1,-0.5476,0.05205331689652515,0.029557589626239666,1.1810280084609985
2021-10-01,0.1,-0.545,0.05389907375379521,0.033631859756097615,1.1574475765228271
